Target,Model,Train_R2,Test_R2,Test_Adjusted_R2,Test_RMSE,Test_MAE
Cooling Load,LASSO Regression,0.88821071183412,0.8945997189758546,0.8839838633331348,3.125075807663854,2.179069744009414
Cooling Load,Elastic Net Regression,0.8882015310328267,0.8945761831908796,0.8839579570374431,3.125424701452416,2.178829646607309
Cooling Load,Ridge Regression,0.8881735249240748,0.8945288711027563,0.8839058797030339,3.126125936651365,2.180460895935785
Heating Load,Elastic Net Regression,0.9241350286566017,0.9205507011904127,0.9125486135405262,2.8777060014316462,2.0626065193706093
Heating Load,LASSO Regression,0.9241318796234563,0.9205323400408146,0.9125284030665082,2.8780385086957225,2.062852406157607
Heating Load,Ridge Regression,0.924137795006201,0.9205156238381529,0.9125100032175352,2.8783411937456242,2.0641231627338255
