Target,Feature,Transformation,Train_R2,Test_R2,Test_RMSE,Test_MAE
Heating Load,glazing_area,regression_spline,0.08329222716358131,0.06595888295504249,9.866983125448852,9.1465505983057
Heating Load,glazing_area,smoothing_spline,0.08314362346469195,0.06538458346443654,9.870016039371343,9.146535242940338
Heating Load,glazing_area_distribution,linear,0.04152800296257941,0.032954578044193106,10.03979453053809,9.116493607084896
Cooling Load,relative_compactness,linear,0.41235360757359674,0.359582157214861,7.703203732628073,6.26544810031586
Cooling Load,relative_compactness,step,0.5545636368149363,0.5080440990532906,6.751538671829214,4.727718379419887
Cooling Load,relative_compactness,polynomial,0.5476132913068742,0.5228917314315771,6.648874630128412,5.2910895125835
Cooling Load,relative_compactness,regression_spline,0.7421852172958407,0.7371814878109861,4.934778326763524,3.874731916129445
Cooling Load,relative_compactness,smoothing_spline,0.8487505152271324,0.8348165985865131,3.9122164497392133,3.284549207722079
Cooling Load,surface_area,linear,0.46238300761942885,0.4126751597236,7.376984264418281,6.0482122204147855
Cooling Load,surface_area,step,0.8223153853241063,0.8390157931486992,3.862169310692256,2.9064219492489993
Cooling Load,surface_area,polynomial,0.5961015256068074,0.5833864991755993,6.213071367986989,4.962663575332501
Cooling Load,surface_area,regression_spline,0.754215112619805,0.752828191577021,4.7856302403565,3.595890953923253
Cooling Load,surface_area,smoothing_spline,0.9088507658030753,0.9015499735760918,3.020282671694063,2.3246039499776208
Cooling Load,wall_area,linear,0.16884287224438466,0.22596838821573473,8.468744321791759,7.4082425079412815
Cooling Load,wall_area,step,0.20331113877628137,0.2820811647763295,8.156002425171456,6.852340656145106
Cooling Load,wall_area,polynomial,0.2541285971657149,0.2928528453134991,8.094584696235039,6.815112776220241
Cooling Load,wall_area,regression_spline,0.44001116383516925,0.4631086624190818,7.05314595288463,5.635320176873794
Cooling Load,wall_area,smoothing_spline,0.4399881364297955,0.4628736388332859,7.054689537375043,5.63803690414003
Cooling Load,roof_area,linear,0.7477299839095578,0.7277777289845783,5.022286674734861,3.682457994007729
