Target,Model,Train_R2,Test_R2,Test_Adjusted_R2,Test_RMSE,Test_MAE
Cooling Load,LASSO Regression,0.88821071183412,0.8945997189758546,0.8839838633331348,3.125075807663854,2.179069744009414
Heating Load,Elastic Net Regression,0.9241350286566017,0.9205507011904127,0.9125486135405262,2.8777060014316462,2.0626065193706093
