Target,Model,Train_R2,Test_R2,Test_Adjusted_R2,Test_RMSE,Test_MAE,Train_Test_R2_Gap
Heating Load,Simple ANN,0.9988540410995483,0.9966331124305725,0.9962940014523568,0.5924018562493228,0.4323415458202362,0.00222092866897583
Cooling Load,Simple ANN,-5.9628825187683105,-6.24379825592041,-6.973389447164193,25.907339627642806,23.920169830322266,0.2809157371520996
Heating Load,Deeper ANN,-4.796163082122803,-4.9655656814575195,-5.566414023474824,24.936024098712338,22.764751434326172,0.1694025993347168
Cooling Load,Deeper ANN,-6.321161270141602,-6.592419147491455,-7.357123234289155,26.523432897643193,24.74875831604004,0.2712578773498535
Heating Load,Regularized ANN,-4.449526309967041,-4.637006759643555,-5.2047628361544165,24.239611730707832,21.915843963623047,0.18748044967651367
Cooling Load,Regularized ANN,-5.874655723571777,-6.140565395355225,-6.859759032297477,25.722072233783965,23.818805694580078,0.26590967178344727
