Target,Model,No_of_Features,Train_R2,Train_Adjusted_R2,Test_R2,Test_Adjusted_R2,Test_RMSE,Test_MAE,Test_MAPE_percent,AIC,BIC,Source_Notebook,Train_Test_R2_Gap,Rank
Cooling Load,GAM-style Additive Model (n_knots=4),,0.9684898414361586,,0.9629465539554036,0.9609022258977707,1.852908504627597,1.3705463277860834,,,,Semi-Parametric and Nonlinear,0.005543287480754944,11
Cooling Load,GAM-style Additive Model (n_knots=5),,0.9684895298060384,,0.9629417114553236,0.9608971162252724,1.853029578608548,1.3709845636693003,,,,Semi-Parametric and Nonlinear,0.005547818350714828,12
Cooling Load,Regression Spline Model,,0.9684898010245838,,0.9629414971934868,0.960896890142093,1.853034935479612,1.3708429255745058,,,,Semi-Parametric and Nonlinear,0.005548303831097057,13
Cooling Load,Tuned Random Forest Regression,,0.9951935756242728,,0.95527873036342,0.9528113499696776,2.035620120076728,1.2684489177489229,,,,Semi-Parametric and Nonlinear,0.03991484526085276,14
Cooling Load,Random Forest Regression,,0.9951367860305812,,0.9551611988246094,0.952687333932174,2.0382932617488927,1.2698738961039089,,,,Semi-Parametric and Nonlinear,0.03997558720597183,15
Cooling Load,Step Function Model,,0.9485156983743472,,0.9447039618831532,0.9416531459870514,2.2635322178058206,1.832987705607588,,,,Semi-Parametric and Nonlinear,0.00381173649119404,16
Cooling Load,Extra Trees Regression,,1.0,,0.9245568248436526,0.9203944427660612,2.643928166517364,1.534871948051954,,,,Semi-Parametric and Nonlinear,0.07544317515634735,17
Cooling Load,Linear Basis Model,,0.8882593289004728,,0.8949583305630099,0.8891629281113139,3.119754933464355,2.180511908625355,,,,Semi-Parametric and Nonlinear,-0.0066990016625371185,18
Cooling Load,LASSO Regression,,0.88821071183412,,0.8945997189758546,0.8839838633331348,3.125075807663854,2.179069744009414,,,,Regularized Regression,-0.006389007141734515,19
Cooling Load,Elastic Net Regression,,0.8882015310328267,,0.8945761831908796,0.8839579570374431,3.125424701452416,2.178829646607309,,,,Regularized Regression,-0.006374652158052885,20
Cooling Load,Ridge Regression,,0.8881735249240748,,0.8945288711027563,0.8839058797030339,3.126125936651365,2.180460895935785,,,,Regularized Regression,-0.006355346178681498,21
Cooling Load,Parametric OLS (Forward Selection),5.0,0.8858499615014691,0.8849112276322377,0.8925696121929014,0.8889402071994184,3.1550281914237983,2.201209855502821,8.496012743291665,3182.4807884137035,3209.0007579825865,Parametric OLS,-0.006719650691432322,22
Cooling Load,Regularized ANN,,-5.874655723571777,,-6.140565395355225,-6.859759032297477,25.722072233783965,23.81880569458008,,,,Deep Learning,0.2659096717834472,23
Cooling Load,Simple ANN,,-5.962882518768311,,-6.24379825592041,-6.973389447164193,25.90733962764281,23.920169830322266,,,,Deep Learning,0.2809157371520996,24
